longitude latitude location_id event_time speed_mph heading status 
-111.69334 33.27789048 Loc1 1973-11-29T21:33:09Z 45.2 180 active 
-111.7223886 33.37926451 Loc2 1973-11-29T21:33:14Z 32.8 270 active 
-111.7524629 33.33742533 Loc3 1973-11-29T21:33:19Z 0.0 0 stopped
-111.7554613 33.28838219 Loc4 1973-11-29T21:33:24Z 61.5 90 active
-111.69334 33.27789048 Loc1 1973-11-29T21:33:29Z 47.1 182 active
-111.7223886 33.37926451 Loc2 1973-11-29T21:33:34Z 29.4 265 active
-111.7524629 33.33742533 Loc3 1973-11-29T21:33:39Z 5.3 15 active
-111.7554613 33.28838219 Loc4 1973-11-29T21:33:44Z 58.9 88 active
-111.69334 33.27789048 Loc1 1973-11-29T21:33:49Z 44.0 178 active
-111.7223886 33.37926451 Loc2 1973-11-29T21:33:54Z 31.2 272 active
-111.7524629 33.33742533 Loc3 1973-11-29T21:33:59Z 0.0 0 stopped
-111.7554613 33.28838219 Loc4 1973-11-29T21:34:04Z 63.1 92 active
-111.69334 33.27789048 Loc1 1973-11-29T21:34:09Z 46.8 185 active
-111.7223886 33.37926451 Loc2 1973-11-29T21:34:14Z 33.5 268 active
-111.7524629 33.33742533 Loc3 1973-11-29T21:34:19Z 12.7 20 active
-111.7554613 33.28838219 Loc4 1973-11-29T21:34:24Z 55.4 85 active
-111.69334 33.27789048 Loc1 1973-11-29T21:34:29Z 48.3 190 active
-111.7223886 33.37926451 Loc2 1973-11-29T21:34:34Z 28.1 260 active
-111.7524629 33.33742533 Loc3 1973-11-29T21:34:39Z 0.0 0 stopped
-111.7554613 33.28838219 Loc4 1973-11-29T21:34:44Z 60.2 91 active
